observed_at,stage,host,port,protocol,decision,reason
2026-07-26T08:08:44Z,probe,127.0.0.1,19483,tcp,allow,
2026-07-26T08:08:46Z,probe,127.0.0.1,19484,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19485,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19486,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19487,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19488,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19489,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19490,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19491,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19492,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19493,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19494,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19495,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19496,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19497,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19498,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19499,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19500,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19501,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19502,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19503,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19504,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19505,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19506,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19507,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19508,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19509,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19510,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19511,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19512,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19513,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19514,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19515,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19516,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19517,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19518,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19519,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19520,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19521,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19522,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19523,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19524,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19525,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19526,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19527,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19528,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19529,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19530,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19531,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19532,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19533,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19534,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19535,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19536,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19537,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19538,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19539,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19540,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19541,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19542,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19543,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19544,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19545,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19546,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19547,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19548,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19549,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19550,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19551,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19552,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19553,tcp,deny,out of scope
